"Year","Site","Plot.size..m2.","Aspect","SR.w.m2","Lifeform","count","total","Cover","lat","lon","ele","Time_since_burnt","Time_since_grazing","Grazing.ceased","Average_change_max_summer_temp"
2004,"MBo",5000,"S",910.869148578821,"bare ground",21,500,0.042,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"S",910.869148578821,"grass",169,500,0.338,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"S",910.869148578821,"herb",288,500,0.576,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"S",910.869148578821,"rock",8,500,0.016,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"S",910.869148578821,"shrub",14,500,0.028,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"W",906.13987371176,"bare ground",9,500,0.018,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"W",906.13987371176,"grass",230,500,0.46,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"W",906.13987371176,"herb",208,500,0.416,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"W",906.13987371176,"litter",3,500,0.006,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"W",906.13987371176,"rock",33,500,0.066,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBo",5000,"W",906.13987371176,"shrub",17,500,0.034,-36.73858602,147.288477,1982.326172,65,54,1950,0.229351738
2004,"MBu",612,"E",970.874053012805,"bare ground",2,180,0.0111111111111111,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"E",970.874053012805,"grass",31,180,0.172222222222222,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"E",970.874053012805,"herb",24,180,0.133333333333333,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"E",970.874053012805,"litter",15,180,0.0833333333333333,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"E",970.874053012805,"rock",1,180,0.00555555555555556,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"E",970.874053012805,"shrub",107,180,0.594444444444444,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"N",957.325041290274,"bare ground",8,190,0.0421052631578947,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"N",957.325041290274,"grass",18,190,0.0947368421052632,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"N",957.325041290274,"herb",8,190,0.0421052631578947,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"N",957.325041290274,"litter",17,190,0.0894736842105263,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
2004,"MBu",612,"N",957.325041290274,"shrub",139,190,0.731578947368421,-37.14356697,146.421798,1760.844482,65,46,1958,0.229351738
